2R	500	2	0.989	0.001177255
2R	1500	2	1.000	0.001164305
2R	2500	1	1.000	0.000582152
2R	3500	3	1.000	0.001746457
2R	4500	2	1.000	0.001164305
2R	5500	3	1.000	0.001746457
2R	6500	7	1.000	0.004120746
2R	7500	5	1.000	0.002910762
2R	8500	7	1.000	0.004212106
2R	9500	18	1.000	0.010524422
2R	10500	15	1.000	0.008732285
2R	11500	0	1.000	0.000000000
2R	12500	6	1.000	0.003538594
2R	13500	4	1.000	0.002374289
2R	14500	5	1.000	0.002956442
2R	15500	6	1.000	0.003492914
2R	16500	3	1.000	0.001746457
2R	17500	3	1.000	0.001746457
2R	18500	3	0.868	0.002012047
2R	19500	1	1.000	0.000582152
2R	20500	0	1.000	0.000000000
2R	21500	7	1.000	0.004075066
2R	22500	2	1.000	0.001164305
2R	23500	3	0.986	0.001771255
2R	24500	7	1.000	0.004075066
2R	25500	4	1.000	0.002374289
2R	26500	3	1.000	0.001746457
2R	27500	1	1.000	0.000582152
2R	28500	1	1.000	0.000582152
2R	29500	1	0.754	0.000832669
2R	30500	1	0.665	0.000875417
2R	31500	0	0.506	0.000000000
2R	32500	0	0.364	na
2R	33500	1	1.000	0.000582152
2R	34500	3	1.000	0.001792137
2R	35500	3	1.000	0.001746457
2R	36500	3	1.000	0.001746457
2R	37500	2	1.000	0.001164305
2R	38500	11	1.000	0.006403676
2R	39500	13	0.906	0.008353179
2R	40500	21	0.985	0.012504121
2R	41500	9	0.865	0.006057076
2R	42500	2	1.000	0.001164305
2R	43500	0	1.000	0.000000000
2R	44500	9	1.000	0.005285051
2R	45500	26	1.000	0.015273001
2R	46500	31	1.000	0.018183763
2R	47500	3	1.000	0.001792137
2R	48500	11	1.000	0.006449356
2R	49500	35	0.981	0.020956220
2R	50500	35	1.000	0.020603732
2R	51500	0	1.000	0.000000000
2R	52500	1	1.000	0.000582152
2R	53500	2	1.000	0.001164305
2R	54500	0	1.000	0.000000000
2R	55500	1	1.000	0.000582152
2R	56500	0	1.000	0.000000000
2R	57500	0	1.000	0.000000000
2R	58500	1	1.000	0.000582152
2R	59500	1	1.000	0.000582152
2R	60500	3	1.000	0.001746457
2R	61500	3	1.000	0.001746457
2R	62500	0	1.000	0.000000000
2R	63500	1	1.000	0.000582152
2R	64500	3	1.000	0.001792137
2R	65500	1	1.000	0.000582152
2R	66500	2	1.000	0.001164305
2R	67500	3	1.000	0.001746457
2R	68500	0	1.000	0.000000000
2R	69500	27	1.000	0.015809473
2R	70500	1	1.000	0.000582152
